,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
13-2011,13,2011,Accountants and Auditors,Tax Accountant,4,Muhasebe Ve Vergi Uygulamaları Meslek Elemanı,He's a bookkeeper for accounting and tax practice.,He's a very good accounting and tax enforcement professional.,He's a good accounting and tax enforcement professional.,He's a poor accountant and tax enforcement professional.,He's a terrible accounting and tax enforcement professional.,he,he,he,he,he
13-2022,13,2022,Appraisers of Personal and Business Property,Appraiser of Personal and Business Property,3,Muhammin,He's a mouthpiece.,He's a very good rep.,He's a good mentor.,He's a bad muhammin.,He's a very bad muhammin.,he,he,he,he,he
13-2023,13,2023,Appraisers and Assessors of Real Estate,Real Estate Appraiser,3,Gayrimenkul Değerleme Uzmanı,He's a real estate consultant.,He's a very good property assessment expert.,He's a good property assessment expert.,He's a bad real estate consultant.,He's a terrible property assessment expert.,he,he,he,he,he
13-2031,13,2031,Budget Analysts,Budget Coordinator,2,Maliyet Analiz Bütçe Şefi,He's a cost analysis budget chief.,He's a very good cost analysis budget chief.,He's a good cost analysis budget chief.,He's a bad cost analysis budget chief.,He's a very bad cost analysis budget chief.,he,he,he,he,he
13-2031,13,2031,Budget Analysts,Budget Officer,2,Bütçe Uzmanı,He's a budget expert.,He's a very good budget expert.,He's a good budget expert.,He's a bad budget expert.,He's a terrible budget expert.,he,he,he,he,he
13-2031,13,2031,Budget Analysts,Cost Analyst,2,Maliyet Analiz Uzmanı,He's a cost analyzer.,He's a very good cost analyzer.,He's a good cost analysis expert.,He's a bad cost analyzer.,He's a very bad cost analyzer.,he,he,he,he,he
13-2041,13,2041,Credit Analysts,Credit Analyst,2,Kredi Analisti,He's a credit analyst.,He's a very good credit analyst.,He's a good credit analyst.,He's a bad credit analyst.,He's a terrible credit analyst.,he,he,he,he,he
13-2051,13,2051,Financial and Investment Analysts,Corporate Financial Analyst,2,Finans Analisti,He's a financial analyst.,He's a very good financial analyst.,He's a good financial analyst.,He's a bad financial analyst.,He's a terrible financial analyst.,he,he,he,he,he
13-2051,13,2051,Financial and Investment Analysts,Investment Analyst,2,Yatırım Analisti,He's an investment analyst.,He's a very good investment analyst.,He's a good investment analyst.,He's a bad investment analyst.,He's a terrible investment analyst.,he,he,he,he,he
13-2052,13,2052,Personal Financial Advisors,Certified Financial Planner,2,Finansman Planlamacısı,He's a funding planner.,He's a very good funding planner.,He is a good funding planner.,He's a bad funding planner.,He's a very bad funding planner.,he,he,he,he,he
13-2052,13,2052,Personal Financial Advisors,Individual Pension Consultant,2,Finans Uzmanı,He's a financial expert.,He's a very good financial expert.,He's a good financial expert.,He's a bad financial expert.,He's a terrible financial expert.,he,he,he,he,he
13-2052,13,2052,Personal Financial Advisors,Personal Investment Adviser,2,Yatırım Danışmanı,He's an investment consultant.,He's a very good investment consultant.,He's a good investment consultant.,He's a bad investment consultant.,He's a terrible investment consultant.,he,he,he,he,he
13-2053,13,2053,Insurance Underwriters,Insurance Underwriter,3,Sigortacı,He's an insurance agent.,He's a very good insurance agent.,He's a good insurance agent.,He's a bad insurance agent.,He's a terrible insurance agent.,he,he,he,he,he
13-2072,13,2072,Loan Officers,Commercial Lender,4,ikrazatçı,He's a hangman.,He's a very good apprentice.,He's a good apprentice.,He's a bad apprentice.,He's a very bad apprentice.,he,he,he,he,he
13-2072,13,2072,Loan Officers,Loan Officer,3,Kredilendirme Görevlisi,He's a crediting agent.,He's a very good crediting officer.,He's a good creditor.,He's a bad creditor.,He's a terrible crecreditor.,he,he,he,he,he
13-2072,13,2072,Loan Officers,Real Estate Loan Officer,3,Mortgage Görevlisi,He's a mortgage attendant.,He's a very good mortgage attendant.,He's a good mortgage attendant.,He's a bad mortgage attendant.,He's a terrible mortgage worker.,he,he,he,he,he
13-2081,13,2081,"Tax Examiners and Collectors, and Revenue Agents",Tax Compliance Officer,3,Vergi Denetmeni,He's a tax inspector.,He's a very good tax inspector.,He's a good tax inspector.,He's a bad tax inspector.,He's a terrible tax inspector.,he,he,he,he,he
15-1211,15,1211,Computer Systems Analysts,Computer Systems Consultant,2,Sistem Danışmanı,He's a system consultant.,He's a very good system consultant.,He's a good system consultant.,He's a bad system consultant.,He's a very bad system consultant.,he,he,he,he,he
15-1211,15,1211,Computer Systems Analysts,Information Systems Analyst,2,BT Sistem Analisti,He's a it system analyst.,He's a very good it system analyst.,He's a good it system analyst.,He's a bad it system analyst.,He's a terrible it system analyst.,he,he,he,he,he
15-1211,15,1211,Computer Systems Analysts,Programmer Analyst,2,Program Analisti,He's a program analyst.,He's a very good program analyst.,He's a good program analyst.,He's a bad program analyst.,He's a terrible program analyst.,he,he,he,he,he
15-1211,15,1211,Computer Systems Analysts,Systems Architect,2,Sistem Tasarımcısı,He's a system designer.,He's a very good system designer.,He's a good system designer.,He's a bad system designer.,He's a terrible system designer.,he,he,he,he,he
15-1212,15,1212,Information Security Analysts,Information Security Analyst,2,Bilgi Güvenlik Uzmanı,He's an information security expert.,He's a very good information security expert.,He's a good information security expert.,He's a bad information security expert.,He's a terrible information security expert.,he,he,he,he,he
15-1221,15,1221,Computer and Information Research Scientists,Computer Scientist,2,Bilgisayar Bilimcisi,He's a computer scientist.,He's a very good computer scientist.,He is a good computer scientist.,He's a bad computer scientist.,He's a terrible computer scientist.,he,he,he,he,he
15-1231,15,1231,Computer Network Support Specialists,Network Technician,3,Ağ Teknolojileri Teknikeri,He's a network technology technician.,He's a very good network technology technician.,He's a good networking tech.,He's a bad networking tech.,He's a very bad network technology technician.,he,he,he,he,he
15-1232,15,1232,Computer User Support Specialists,IT Support Specialist,3,Bilgi işlem Destek Sorumlusu,He's a computing support officer.,He's a very good computing support officer.,He is a good computing support officer.,He's a bad IT support officer.,He's a very bad computing support officer.,he,he,he,he,he
15-1242,15,1242,Database Administrators,Database Administration Manager,2,Veri Tabanı Yöneticisi,He's a database manager.,He's a very good database manager.,He's a good database manager.,He's a bad database manager.,He's a very bad database manager.,he,he,he,he,he
15-1242,15,1242,Database Administrators,Database Programmer,3,Veri Tabanı Programcı Teknisyeni,He's a database programmer.,He's a very good database programmer.,He's a good database programmer.,He's a bad database programmer.,He's a terrible database programmer.,he,he,he,he,he
15-1243,15,1243,Database Architects,Data Architect,2,Veri Tabanı Mimarı,He's a database architect.,He's a very good database architect.,He's a good database architect.,He's a bad database architect.,He's a terrible database architect.,he,he,he,he,he
15-1244,15,1244,Network and Computer Systems Administrators,LAN Systems Administrator,2,Bilgisayar Sistemleri Yöneticisi,He's a computer systems manager.,He's a very good computer systems manager.,He is a good computer systems manager.,He's a bad computer systems manager.,He's a very bad computer systems administrator.,he,he,he,he,he
15-1244,15,1244,Network and Computer Systems Administrators,Network Analyst,2,Bilgisayar Ağı Analisti,He's a computer network analyst.,He's a very good computer network analyst.,He's a good computer network analyst.,He's a bad computer network analyst.,He's a terrible computer network analyst.,he,he,he,he,he
15-1244,15,1244,Network and Computer Systems Administrators,Network Systems Administrator,2,Bilgisayar Ağı Yöneticisi,He's a computer network administrator.,He's a very good computer network manager.,He is a good computer network administrator.,He's a bad computer network administrator.,He's a terrible computer network administrator.,he,he,he,he,he
15-1251,15,1251,Computer Programmers,Applications Programmer,2,Uygulama Programcısı,He's an application programmer.,He's a very good application programmer.,He's a good application programmer.,He's a bad application programmer.,He's a terrible application programmer.,he,he,he,he,he
15-1251,15,1251,Computer Programmers,Computer Programmer,2,Bilgisayar Programcısı,He's a computer programmer.,He's a very good computer programmer.,He's a good computer programmer.,He's a bad computer programmer.,He's a terrible computer programmer.,he,he,he,he,he
15-1251,15,1251,Computer Programmers,IT Programmer,3,Bilişim Teknolojileri Teknisyeni,He's an IT tech.,He is a very good technician of IT technologies.,He's a good information technology technician.,He's a bad information technology technician.,He's a terrible information technology technician.,he,he,he,he,he
15-1251,15,1251,Computer Programmers,Systems Programmer,2,Sistem Programcısı,He's a system programmer.,He's a very good system programmer.,He's a good system programmer.,He's a bad system programmer.,He's a terrible system programmer.,he,he,he,he,he
15-1252,15,1252,Software Developers,Applications Developer,2,Yazılım Geliştiricisi,He's a software developer.,He's a very good software developer.,He's a good software developer.,He's a bad software developer.,He's a terrible software developer.,he,he,he,he,he
15-1252,15,1252,Software Developers,Embedded Systems Software Developer,2,Mikrodenetleyici Programcısı,He's a microcontroller programmer.,He's a very good microcontroller programmer.,He's a good microcontroller programmer.,He's a bad microcontroller programmer.,He's a terrible microcontroller programmer.,he,he,he,he,he
15-1252,15,1252,Software Developers,Mobile Applications Developer,2,Mobil Yazılım Geliştirme Uzmanı,He's a mobile software developer.,He's a very good mobile software developer.,He's a good mobile software developer.,He's a bad mobile software developer.,He's a terrible mobile software developer.,he,he,he,he,he
15-1252,15,1252,Software Developers,Software Applications Designer,2,Yazılım Tasarımcısı,He's a software designer.,He's a very good software designer.,He's a good software designer.,He's a bad software designer.,He's a terrible software designer.,he,he,he,he,he
15-1252,15,1252,Software Developers,Software Engineer,2,Yazılım Mühendisi,He's a software engineer.,He's a very good software engineer.,He's a good software engineer.,He's a bad software engineer.,He's a terrible software engineer.,he,he,he,he,he
15-1253,15,1253,Software Quality Assurance Analysts and Testers,Applications Tester,2,Yazılım Test Edicisi,He's a software test driver.,He's a very good software test driver.,He's a good software test driver.,He's a bad software test driver.,He's a very bad software test driver.,he,he,he,he,he
15-1253,15,1253,Software Quality Assurance Analysts and Testers,Software Quality Assurance Technician,2,Kalite Güvence Analisti ,He's a quality assurance analyst.,He's a very good quality assurance analyst.,He's a good quality assurance analyst.,He's a bad quality assurance analyst.,He's a very bad quality assurance analyst.,he,he,he,he,he
15-1254,15,1254,Web Developers,Web Developer,3,Web Geliştiricisi,He's a web developer.,He's a very good web developer.,He's a good web developer.,He's a bad web developer.,He's a terrible web developer.,he,he,he,he,he
15-1255,15,1255,Web and Digital Interface Designers,Graphic Web Designer,2,Web Tasarımcısı,He's a web designer.,He's a very good web designer.,He's a good web designer.,He's a bad web designer.,He's a terrible web designer.,he,he,he,he,he
