"Source: https://esube.iskur.gov.tr/Meslek/meslek.aspx -> click on ""Tüm meslek listesini görmek için tıklayınız",
ISCO-08 KODU,MESLEK ADI
3114.09,Elektronik Teknolojisi Teknikeri/Elektronik Teknikeri
3114.1,Elektronik Teknolojisi Teknikeri/Endüstriyel Elektronik Teknikeri
3114.11,Güvenlik Sistemleri Teknisyeni
3114.12,Radar Bakım Onarım Teknisyeni
3114.13,Uçak Elektroniği Teknisyeni
3114.14,Elektronik Teknolojisi Teknikeri
3114.15,Fizyolojik Sinyal İzleme Teşhis ve Kayıt Cihazları Teknisyeni
3114.16,İşletme Elektronik Bakımcısı
3114.17,Raylı Sistemler Elektrik-Elektronikçiliği Teknisyeni
3114.18,Endüstriyel Kontrol Teknisyeni
3114.19,Raylı Sistemler Elektrik ve Elektronik Teknolojisi Teknikeri
3115.01,Uçak-Gövde Motorcusu
3115.02,Diğer Makine Teknisyenleri
3115.03,Otomotiv Gövde Teknisyeni
3115.04,Isıtma Sistemi Kontrol Teknisyeni
3115.05,Makine Teknisyeni-Havacılık
3115.06,Soğutma Sistemleri Teknisyeni
3115.07,Makine Teknisyeni-Motor Ve Makine
3115.08,Makine Teknolojisi Teknisyeni
3115.09,Makine Teknisyeni-Otomotiv
3115.1,Tarım Alet ve Makineleri Kullanımı Teknisyeni / Makine Teknisyeni (Tarım)
3115.11,Tarım Alet Ve Makineleri Teknikeri
3115.12,İklimlendirme ve Soğutma Teknolojisi Teknikeri
3115.13,Makine Teknikeri
3115.14,Otomotiv Teknolojisi Teknikeri
3115.15,İş Makineleri Teknikeri
3115.16,Elektromekanik Taşıyıcılar Bakım Onarım Teknisyeni / Elektromekanik Taşıyıcılar  Teknisyeni
3115.17,Çelik Gemi Yapımı / Gemi İnşa Teknisyeni
3115.18,Gemi Makineleri Teknisyeni
3115.19,Hidrolik-Pnömatik Teknisyeni
3115.2,Konfeksiyon Makineleri Bakım Ve Onarım Teknisyeni
3115.21,Motorlu Araçlar Teknolojisi/Otomotiv Teknolojisi Teknisyeni
3115.22,Isıtma ve Doğalgaz İç Tesisatçısı
3115.23,Doğal Gaz Tesisat Teknisyeni
3115.24,Makine Yağları Ve Yağlama Teknikeri
3115.25,İş Makineleri Teknisyeni
3115.26,Doğal Gaz ve Tesisat Teknikeri
3115.27,Tesisat Teknolojisi ve İklimlendirme Teknisyeni
3115.28,Otomotiv Montaj Teknisyeni
3115.29,Uçak Bakım Teknisyeni (Gövde-Motor)
3115.3,Endüstriyel Kalıpçılık Teknikeri
3115.31,Endüstriyel Mekanik Teknisyeni
3115.32,Uçak Motorları Bakım-Onarım Teknisyeni
3115.33,Gemi Donatımı Teknisyeni
3115.34,Telesiyej Teknisyeni
3115.35,Ölçüm Aletleri Teknisyeni (Gemi)
3115.36,Gemi İnşaatı Teknikeri
3115.37,Raylı Sistemler Makine Teknisyeni
3115.38,Klima Sistemleri Teknisyeni
3115.39,Tesis İşletme Teknisyeni (Otobüs İmalatı)
3115.4,Raylı Sistemler Makine Teknikeri
3115.41,Bilgisayarlı Makine İmalatı / Bilgisayarlı Nümerik Kontrol (CNC / Nümerik Kontrollü Makineler (CNC) Teknisyeni
3115.42,Mekanik Bakım Onarımcısı
3115.43,Raylı Sistemler İşletmeciliği Teknisyeni
3115.44,Raylı Sistemler Mekotronik Teknisyeni
3115.45,Otomotiv Elektromekanik Teknisyeni
3115.46,Soğutma ve İklimlendirme Teknisyeni
3115.47,Kontrol Ve Otomasyon Teknolojisi Teknikeri/Kontrol Sistemleri Teknikeri
3115.48,Gemi Makineleri Teknikeri
3115.49,Gemi Makineleri İşletme Teknikeri
3115.5,Ağır Vasıta Tecrübe Sürücüsü
3115.51,Sürveyan (Gemi)
3115.52,Raylı Sistemler İşletmeciliği Teknikeri
3115.53,İklimlendirme Sistemleri Teknisyeni
3115.54,Uçak Gövde Motor Teknisyeni
3115.55,Gaz ve Tesisat Teknikeri (Sıhhi Tesisat Ve Doğalgaz Teknikeri )
3115.56,Uçak Teknolojisi/Motor/Gövde/Elektrik/Elektronik Teknikeri
3115.57,CNC Programcısı
3115.58,CNC Programcısı Yardımcısı
3115.59,Raylı Sistemler Teknolojisi Teknisyeni
3115.6,Raylı Sistemler Teknolojisi Teknikeri
3115.61,Oto Boya Karoseri Doğrultma Teknikeri
3115.62,Makine Kalite Kontrolcüsü Ve Deneyicisi
3115.63,"Otomotiv Kontrol, Test ve Ayar İşçisi"
3115.64,LPG Ekipmanları Kalite Kontrolörü
3115.65,Araç Muayene İstasyonu Teknisyeni
3115.66,Numune Kontrolcüsü (Otomotiv)
3115.67,Motor Test Teknisyeni
3115.68,Hidrotest Operatörü
3115.69,Kontrol ve Otomasyon Teknolojisi/Endüstriyel Otomasyon Teknikeri
3115.7,Kontrol ve Otomasyon Teknolojisi/Kontrol ve Ölçü Aletleri Teknikeri
3115.71,Kontrol ve Otomasyon Teknolojisi Teknikeri
3115.72,Kontrol ve Otomasyon Teknolojisi Teknikeri/ Otomasyon Teknikeri
3115.73,Raylı Sistemler Makinistlik Teknikeri
3115.74,Makine Bakım Onarım Teknisyeni/Makine Bakım Onarımcısı
3116.01,Diğer Kimya Teknisyenleri
3116.02,Polimer Teknolojisi Teknikeri
3116.04,Fermantasyon Teknikeri
3116.05,Lastik Teknikeri
3116.07,Yağ Teknikeri
3116.08,Boya Teknikeri
3116.09,Laborant-Boya
3116.1,Plastik İşleme Teknisyeni
3116.11,Kozmetik Teknikeri
3116.12,Plastik Teknikeri
3116.13,Sterilizasyon Teknisyeni
3116.21,Lastik Üretim Teknisyeni
3116.22,Boya Üretimi Ve Uygulama Teknisyeni
3116.24,Laborant (Tekstil)
3116.25,Plastik Kalıp Teknisyeni
3116.26,Lastik Teknisyeni
3116.27,Petrol Rafineri Teknisyeni
3117.01,Mermer İşleme Teknisyeni
3117.02,Asitleyici (Petrol Ve Gaz Kuyuları)
3117.03,Çimentolayıcı-Petrol Ve Gaz Kuyuları
3117.04,Diğer Maden Teknisyenleri
3117.05,Diğer Metalurji Teknisyenleri
3117.06,Diğer Sondajcılar Ve İlgili İşçiler
3117.07,Fiziki Metalurji Teknisyeni
3117.08,Maden Teknisyeni
3117.09,Metalurji Teknisyeni (Cevher İstihsali)
3117.1,Numuneci (Ham Petrol)
3117.11,Petrol Ve Doğal Gaz Çıkarma Teknisyeni
3117.12,Metalurji Teknisyeni
3117.13,Sondaj Teknikeri
3117.14,Taş Ve Metal İşleme Teknikeri
3117.15,Mermer Teknikeri
3117.16,Maden Teknikeri
3117.17,Döküm Teknikeri
3117.18,Döküm Teknisyeni (Metal)
3117.19,Waelz Prosesi Numune Alma Görevlisi
3117.2,Cevher Hazırlama Teknikeri
3117.21,Metaloğrafi Ve Malzeme Muayenesi Teknikeri
3117.22,Metalurji Malzeme Teknikeri
3117.23,Röntgen Teknisyeni (Metal)
3117.24,Tahribatsız Muayene Operatörü
3117.25,Tahribatsız Muayene Uzmanı
3117.26,Tahribatsız Muayene Sorumlusu
3117.27,İzabe Teknisyeni
3117.28,Isıl İşlem Teknisyeni
3117.29,Endüstriyel Kalıp Teknisyeni
3117.3,Tahribatlı Muayene Operatörü
3117.31,Numuneci (Maden Ocağı)
3117.32,Hammadde Teknisyeni
3117.33,Gemi Geri Dönüşüm Operasyon Sorumlusu
3118.01,Aydınlatma Teknik Ressamı
3118.02,Diğer Teknik Ressamlar
3118.03,Elektrik Teknik Ressamı
3118.04,Harita Teknik Ressamı
3118.05,İmalat Çizeri
3118.06,Bilgisayar Destekli Makine Ressamı/Makine Ressamı
3118.07,Mimari Teknik Ressam
3118.08,Teknik Ressam
3118.09,Yapı Ressamı
3118.1,Makine Resim Konstrüksiyon Teknikeri
3118.11,Konstrüktör
3118.12,Mimari Yapı Teknik Ressamı
3118.13,Statik Yapı Teknik Ressamı
3118.14,Çelik Yapı Teknik Ressamı
3118.15,Gemi Ressamı Teknisyeni
3118.16,Yapı Teknik Ressamı (İnşaat/Altyapı/ÜstYapı)
3118.17,Yat İnşa Teknisyeni
3119.01,Alçı Model Kalıp Teknisyeni
3119.02,Diğer Mühendislik Teknisyenleri
3119.03,Etüt Ve Zamanlama Teknisyeni
3119.04,İstihsal Teknisyeni
3119.05,İplik Üretim Teknolojisi Teknisyeni/İplik Teknisyeni
3119.06,Hazır Giyim Model Makineciliği Teknisyeni
3119.07,Kalıpçılık Teknikeri
3119.08,Kaynak Teknikeri
3119.09,Metal İşleri Teknikeri
3119.1,Örme Teknikeri
3119.11,Tekstil Teknikeri
3119.12,Tekstil Baskı Teknikeri
3119.13,Metal İşleri Teknisyeni
3119.14,Halı Ve Kilim Teknikeri
3119.15,Çorap Örme Konfeksiyon Teknisyeni
3119.16,Endüstriyel Otomasyon Teknolojileri Teknisyeni
3119.17,Metal Teknolojisi Teknisyeni
3119.18,Baskı Öncesi Operatörü/Dizgi Teknisyeni
3119.19,Mekatronik Teknikeri
3119.2,Mekatronik Teknisyeni
3119.21,Seramik ve Cam Teknolojisi Teknisyeni
3119.22,Sualtı Teknikeri
3119.23,Endüstriyel Örme Teknisyeni / Örme Teknisyeni
3119.24,Tekstil Terbiye Teknisyeni
3119.25,Tekstil Teknolojisi Teknisyeni
3119.26,Tasarım Uygulama Teknisyeni
3119.27,Uçak Kimyasal Ve Mekanik Temizlemecisi
3119.28,Hava Gözlem Ve Tahmini Teknisyeni
3119.29,Bilgisayar Destekli Endüstriyel Modellemeci/modelci
3119.3,Diğer Teknisyen Ve Teknikerler
3119.31,Endüstriyel Dokuma Teknisyeni / Dokuma Teknisyeni
3119.32,Otopsi Yardımcılığı Sağlık Teknikeri/Adli Tıp Teknikeri
3119.33,Seramik Teknisyeni
3119.34,Tekstil Tasarım Teknisyeni
3119.35,Çini İşlemeciliği Teknikeri
3119.36,Geleneksel El Sanatları Teknikeri
3119.37,Seramik Teknikeri
3119.38,Halıcılık Ve Desinatörlüğü Teknikeri
3119.39,Kesim Teknisyeni (Tekstil Konfeksiyon)
3119.4,Kalıp Teknisyeni (Tekstil Konfeksiyon)
3119.41,Seramik ve Cam Teknikeri
3119.42,Çinicilik Teknisyeni / Çinicilik Ve Seramik Teknisyeni
3119.43,Bilgisayar Destekli Tasarım-İmalat Elemanı (Cad-Cam)
3119.44,Tekstil Konfeksiyon Teknisyeni
3119.45,Endüstriyel Cam ve Seramik Teknikeri
3119.46,El Sanatları Teknolojisi Teknisyeni
3119.47,Serbest Seramik Şekillendirme Teknisyeni
3119.48,El Dokuma Teknisyeni
3119.49,Çini Teknisyeni
3119.5,İş Etüdü Memuru
3119.51,Matbaa Teknisyeni
3119.52,Matbaacılık Teknikeri
3119.53,Matbaacılık Teknikeri-Ofset Baskı
3119.54,Matbaacılık Teknikeri-Tipo Baskı
3119.55,Matbaacılık Teknikeri-Gravür Baskı
3119.56,Matbaacılık Teknikeri-Seriagrafi
3119.57,El Dekorcu/Sır Üstü Dekorlamacı
3119.58,Baskı Sonrası Birim Sorumlusu
3119.59,Endüstriyel Düz Örme Teknisyeni
3119.6,Çorap Moda Tasarım Teknikeri
3119.61,Kaynak Teknisyeni
3119.62,Metal Doğrama Teknisyeni
3119.63,Örme Desen Programcısı
3119.64,Tornada Form Şekillendirme Teknisyeni (Seramik)
3119.65,El ve Makine Nakış Teknisyeni
3119.66,Enerji Verimliliği Uzmanı
3119.67,Posta Hizmetleri Meslek Elemanı
3119.68,Kaynak İnspektörü
3119.69,Geoteknik Teknikeri
3119.7,Ofset Baskı Birim Sorumlusu
3119.71,Ofset Baskı Öncesi Birim Sorumlusu
3119.72,Gemi Yapım Teknisyeni
3119.73,Giyim Üretim Teknolojisi Teknisyeni
3119.74,Flekso Baskı Birim Sorumlusu
3119.75,Flekso Baskı Öncesi Birim Sorumlusu
3119.76,Tekstil Baskı ve Desen Teknisyeni
3119.77,Dokuma Operatörü/Teknisyeni
3119.78,Başteknisyen
3119.79,Dokuma Desinatörlüğü Teknisyeni
3119.8,Endüstriyel Ürünler Tasarım Teknisyeni
3119.81,Diğer Teknik Hizmet Personeli
3119.82,Geleneksel Tekstillerin Konservasyonu ve Restorasyonu Teknikeri
3119.83,Dekoratif Cam Teknisyeni
3119.84,Robotik Sistemler Operatörü
3121.01,"Nezaretçi Ve Ustabaşı (Madencilik, Taşocakçılık Ve Sondajcılık)"
3121.02,Tesis Sorumlusu (Maden)
3121.03,Vardiya Amiri ( Maden)
3122.01,Örme Şefi
3122.02,Entegre Sistem Şefi
3122.03,Ayakkabı Üretimi Teknisyeni
3122.04,Ustabaşı/Postabaşı/Formen/Atölye Sorumlusu
3122.05,Ayakkabı Tasarım ve Üretimi Teknikeri
3122.06,Metal Döküm Kalite Kontrolcüsü
3122.07,Nezaretçi Ve Ustabaşı (Metal İşleme)
3122.08,Nezaretçi Ve Ustabaşı (Makine Ve Metal Mamuller İmalatı)
3122.09,Nezaretçi Ve Ustabaşı (Elektrik Teçhizat İmalat Ve Donanımı)
3122.1,Nezaretçi Ve Ustabaşı (Elektronik Teçhizat İmalat Ve Donanım)
3122.11,Nezaretçi Ve Ustabaşı (Rendering)
3122.12,Fason Takip Elemanı (Tekstil)
3122.13,Fason Takip Elemanı (Baskı-Nakış)
3122.14,Nezaretçi Ustabaşı (Haddehane)
3122.15,Nezaretçi Ve Ustabaşı (Kimyasal Ve İlgili Maddelerin İşlenmesi)
3122.16,Nezaretçi Ve Ustabaşı (Boya İmalatı)
3122.17,Nezaretçi Ve Ustabaşı (Boya-Şarj)
3122.18,"Nezaretçi Ve Ustabaşı (Kauçuk, Kimyasal Ve Sentetik Mamuller)"
3122.19,"Nezaretçi Ve Ustabaşı (Plastik, Kimyasal Ve Sentetik Mamuller İmalatı)"
3122.2,Nezaretçi Ve Ustabaşı (Kumaş İmalatı)
3122.21,Dokuma Sorumlusu
3122.22,Nezaretçi Ve Ustabaşı (Giyecek İmalatı)
3122.23,Nezaretçi Ustabaşı (Ayakkabı Taban İmali)
3122.24,Nezaretçi Ve Ustabaşı (Tekstil-Paketleme)
3122.25,Süt Kabul Ustabaşı
3122.26,Hamurhane Formeni (Bisküvi)
3122.27,Nezaretçi ve Ustabaşı/Formen (Bisküvi İmalatı)
3122.28,Nezaretçi Ve Ustabaşı (İçki İmalatı)
3122.29,Gemi Tamir Havuzu Ustası
3122.3,Tekstil Bitim İşleri Operatörü (Nezaretçi/Ustabaşı)
3122.31,Boyama Operatörü Nezaretçi/Ustabaşı (Tekstil)
3122.32,İplik Operatörü (Nezaretçi/Ustabaşı)
3122.33,Ön Terbiye Operatörü Nezaretçi/Ustabaşı (Tekstil)
3122.34,Çimento Üretim Sorumlusu
3122.35,Vardiya Amiri - İmalat
3122.36,Ön Terbiye Operatörü (Tekstil)
3122.37,Üretim Sorumlusu(Araç Üstü Platform)
3122.38,İmalat ve Kalite Sorumlusu (Metal)
3122.39,Tekstil Boyacısı/Teknisyeni
3122.4,Numune Takip İşçisi
3123.01,İnşaat Kalfası (Genel)
3123.02,Nezaretçi ve Ustabaşı/Formen (İnşaat İşleri)
3123.03,Yol Çavuşu (Demiryolu)
3123.04,Kalite Kontrol Sorumlusu (Beton)
3123.05,Vardiya Amiri - İnşaat
3123.06,Şantiye Şefi-İnşaat
3123.07,"Demiryolu Yol Yapım, Bakım ve Onarım Ustası"
3123.08,"Demiryolu Yol Yapım, Bakım ve Onarım Sorumlusu"
3131.01,Diğer Güç Santrali Teçhizat Operatörleri
3131.02,Termik Santral Elektrik İşletme Operatörü
3131.03,Elektrik Tevzii Tablosu Operatörü-Enerji Merkezi
3131.04,Termik Santral Kazan İşletme Operatörü
3131.05,Hidroelektrik Santral Operatörü
3131.06,Nezaretçi Ve Ustabaşı (Elektrik-Gaz İstihsal Ve Dağıtım)
3131.07,Termik Santral BGKA(Baca Gazı Kükürt Arıtma) Bakımcısı
3131.08,Termik Santral Türbin İşletme Operatörü
3131.09,Yüksek Gerilim Trafo Merkezi İşletme Elemanı
3131.1,Güneş Enerjisi Sistemleri Teknisyeni
3131.11,Vardiya Amiri/Elektrik Enerjisi Üretimi
3131.12,Biyogaz Sistemleri Elemanı
3131.13,Biyogaz Sistemleri Ustası
3131.14,Biyogaz Sistemleri Sorumlusu
3131.15,Fotovoltaik Güç Sistemi Ustası
3131.16,Fotovoltaik Güç Sistemi Sorumlusu
3131.17,Rüzgâr Güç Sistemi Ustası
3131.18,Rüzgâr Güç Sistemi Sorumlusu
3131.19,Termik Santral BGKA(Baca Gazı Kükürt Arıtma) İşletme Operatörü
3131.2,Termik Santral Değirmen Bakımcısı
3131.21,Termik Santral Dış Tesis Tamir Bakımcısı
3131.22,Termik Santral Dış Tesisler İşletme Operatörü
3131.23,Termik Santral Elektrik Bakımcısı
3131.24,Termik Santral Kazan Bakımcısı
3131.25,Termik Santral Kül Cüruf İşletme Operatörü
3131.26,Termik Santral Ölçü Kontrolcüsü
3131.27,Termik Santral Lavarcısı
3131.28,Termik Santral Su Tasfiyecisi
3131.29,Termik Santral Türbin Bakımcısı
3131.3,Nezaretçi Ve Ustabaşı/Formen (Enerji/Kazan Dairesi))
3131.31,Enerji Üretim Tesisleri İşletme ve Bakım Onarımcısı
3131.32,Alternatif Yakıt Hazırlama Operatörü
3131.33,Rüzgar Enerjisi Sistemleri Teknisyeni
3131.34,Termik Santral Saha Operatörü
3131.35,Termik Santral Kumanda Operatörü
3132.01,Arıtma Tesisi İşletme Operatörü
3132.02,Çöp Fırını Operatörü
3132.03,Gaz Kompresör Operatörü
3132.04,Vardiya Amiri (Çöp-Atık Su Arıtma Tesisleri)
3132.05,Kumanda Tablosu Operatörü
3132.06,Nezaretçi Ve Ustabaşı (Su İstihsal Ve Dağıtımı)
3132.07,Pompa İstasyonu Operatörü (Petrol Ve Doğal Gaz Hariç)
3132.08,Sabit Kompresör Operatörü
3132.09,Su Pompası Operatörü
3132.1,Atıksu Pompa Operatörü
3132.11,Atıksu Arıtma Operatörü
3132.12,Tehlikeli Atık Temizleme Operatörü (Tank/Tanker)
3133.01,Gaz Sıvılaştırma Fabrikası Operatörü
3133.02,Kimyasal Damıtma Ve Reaktörü Operatörü
3133.03,Kimyasal Filtreleme Ve Ayırma Teçhizatı Operatörü
3133.04,Kimyasal Isı İşleme Tesisi Operatörü
3133.05,Kimyasal İşlem Teknisyeni
3133.06,Kimyasal İşleme Tesisi Kontrolörü
3133.07,Radyoaktif Maddeler Kimyasal İşlem Operatörü
3133.08,Kimya Proses Teknisyeni
3133.09,Kimya Proses Elemanı
3134.01,Rafineri Ve Petrokimya Teknikeri
3134.02,Diğer Petrol Rafine İşçileri
3134.03,Karıştırıcı (Petrol Rafinesi)
3134.04,Kontrolör (Petrol Rafinesi)
3134.05,Muamele İşçisi (Petrol Rafinesi)
3134.06,Parafin Tesisi Operatörü
3134.07,Petrol-Gaz Üretim Operatörü
3134.08,Pompacı (Petrol Rafinesi)
3134.09,Reaktör Operatörü-Petrol Rafinerisi
3134.1,İmbik Operatörü (Petrol Rafinesi)
3134.11,Ham Petrol Muamelecisi
3134.12,Petrokimya Üretim Elemanı
3134.13,Petro-Kimya Teknisyeni
3134.14,Petrokimya Kontrol Elemanı
3135.01,Yüksek Fırın Kumanda Operatörü
3135.03,Ark Ocağı Sorumlusu
3135.04,Ark Ocağı Operatörü
3135.05,Konverter Operatör Sorumlusu
3135.06,Konverter Operatörü
3135.07,Sürekli Döküm Ustası
3135.08,Sürekli Döküm İşçisi
3135.09,İzabeci
3135.1,Yüksek Fırın Miksercisi (Cevher Ergitme)
3135.11,Yüksek Fırın Hammadde Hazırlama İşçisi
3135.12,Yüksek Fırın Hammadde Hazırlamacısı
3139.01,Kalite Kontrol Teknisyeni (Cam)
3139.02,Kağıt Teknikeri
3139.03,Otomatik Kumanda Teknisyeni
3139.04,Endüstriyel Otomasyon Teknolojisi/ Otomatik Kumanda/ Endüstriyel Otomasyon Teknolojisi (Elektronik)/ / Kontrol Ve Enstrümantasyon Teknisyeni
3139.05,Bilgisayarlı Nümerik Kontrol (CNC) Teknisyeni
3139.06,Otomasyon Sistemleri Teknisyeni
3139.07,Tekstil Kalite Kontrol Teknisyeni
3139.08,Kalite Kontrol Teknisyeni (Otobüs)
3139.09,Gıda Teknikeri
3139.1,Gıda Kontrol Teknisyeni/Gıda Teknolojisi Teknisyeni
3139.11,Gıda Teknolojisi Teknikeri
3139.12,Deri İşleme Teknisyeni
3139.13,Ayakkabı ve Saraciye Teknolojisi Teknisyeni
3139.14,Üretim Paneli Kontrol Operatörü
3139.15,Saraciye Üretim Teknisyeni
3139.16,Endüstriyel Robot Programcısı
3139.17,Üretimde Kalite Kontrol Teknikeri
3139.18,Gıda Kontrol Elemanı
3139.19,Şarap Üretim Teknolojisi Teknikeri
3139.2,Çimento Üretim Nezaretçi-Ustabaşısı
3139.21,Otomasyon Sistemleri Programcısı
3139.22,CNC Takım Tezgahları Uygulama ve Servis Görevlisi
3139.23,Kalite Kontrol Sorumlusu
3139.24,Kumaş Test Elemanı
3139.25,Gıda İşleme Teknisyeni
3141.01,Biyoloji Laboratuvar Teknisyeni
3141.02,Biyokimya Teknikeri
3142.01,Diğer Hayati Bilimler Teknisyenleri
3142.02,Su Ürünleri Teknisyeni
3142.03,Su Ürünleri Teknikeri
3142.04,Süt Ve Ürünleri Teknikeri
3142.05,İpek Böceği Teknikeri
3142.06,Bağcılık Teknikeri
3142.07,Seracılık Teknikeri
3142.08,Tohumculuk Teknikeri
3142.09,Meyve Ve Sebze İşleme Teknikeri
3142.1,Un Üretim Teknikeri
3142.11,Arıcılık Teknikeri
3142.12,Et ve Ürünleri  Teknikeri/Et Endüstrisi Teknikeri
3142.13,Hayvan Yetiştiriciliği Ve Sağlığı Teknikeri
3142.14,Besicilik Teknikeri
3142.15,Bahçe Ziraat/Tarım Teknikeri
3142.16,Antepfıstığı Teknikeri
3142.17,Mantar Teknikeri
3142.18,Pancar Yetiştiriciliği Ve Şeker Teknikeri
3142.19,Fidan Yetiştirme Teknikeri
3142.2,Peyzaj Teknikeri
3142.21,Sebze Üretim Teknikeri
3142.22,Sulama Teknikeri
3142.23,Suptropik İklim Bitkileri Teknikeri
3142.24,Tıbbi Ve Aromatik Bitkiler Teknikeri
3142.25,Peyzaj Uygulama Ve Süs Bitkileri Teknikeri
3142.26,Balık Yetiştirme Teknikeri
3142.27,Bitki Koruma Teknikeri
3142.28,Bitkisel Ürünlerde Muhafaza Ve Pazarlama/tarımsal Ürünler Muhafaza Ve Depolama Teknikeri
3142.29,Bitkisel Ürünlerde Muhafaza ve Pazarlama Teknikeri
3142.3,Ziraat Teknisyeni
3142.31,Ziraat Teknikeri
3142.32,Organik Tarım Teknikeri
3142.33,Bitkisel Üretim Teknikeri
3142.34,Zeytincilik ve Zeytin İşleme Teknolojisi Teknikeri
3142.35,Zeytin Endüstri Teknikeri
3142.36,Zeytin İşleme Teknisyeni
3142.37,Hasat Sonrası Teknolojisi Teknikeri
3142.38,Tarımsal İşletmecilik Meslek Elemanı
3142.39,Endüstriyel Tavukçuluk Teknikeri
3142.4,Süs Bitkileri Yetiştiriciliği / Seracılık Ve Süs Bitkileri Teknikeri
3142.41,Pazarlama/Tarım İşletmeciliği Ve Pazarlama Meslek Elemanı
3142.42,Süt Hayvancılığı Teknikeri
3142.43,Besin Teknolojisi Teknisyeni
3142.44,Tütün Tarımı Ve İşleme Teknikeri
3142.45,Çay Teknolojisi Teknisyeni
3142.46,Kümes Hayvanları Yetiştiriciliği Teknikeri
3142.47,Süt İşleme Teknisyeni
3142.48,Pamuk Pazarlama Ve İplikçilik Teknikeri
3142.49,Pamuk Eksperi Ve İplikçilik Teknikeri
3142.5,Sebze-Meyve ve Ürünleri İşleme Operatörü
3142.51,Hububat İşleme Teknisyeni
3142.52,Ev ve Deney Hayvanları Yetiştiriciliği Teknikeri
3142.53,Tarım Teknikeri
3142.54,Tarla Bitkileri Teknikeri
3142.55,Bahçe Bitkileri Teknisyeni
3142.56,Endüstriyel Bitkiler Yetiştirme Teknikeri
3142.57,Tarımsal Kooperatifçilik Meslek Elemanı
3142.58,Tarımsal Laboratuvar Teknikeri
3142.59,Büyük ve Küçükbaş Hayvan Yetiştiriciliği Teknikeri
3142.6,Çim Alan Tesisi ve Yönetimi Teknikeri
3142.61,Tarla Bitkileri Teknisyeni
3142.62,Hayvan Yetiştiricisi
3142.63,Süt ve Besi Hayvancılığı Teknikeri
3142.64,Un ve Unlu Mamuller Teknikeri
3142.65,Yem Teknolojisi ve Hayvan Besleme Teknikeri
3143.01,Orman Teknikeri
3143.02,Ağaç İşleri Teknikeri
3143.03,Ağaç İşleri Teknisyeni
3151.01,Gemi Baş Makine Zabiti
3151.02,Gemi Makine Zabiti
3151.03,Gemi Makine Kontrolörü-Deniz
3151.04,Gemi Elektroniği Ve Haberleşme Teknisyeni
3151.05,Tarama Uzmanı (Kaptan)
3151.06,Makine Enspektörü
3151.07,Deniz Araçları Tesisat Donatım Teknisyeni
3151.08,Kompresörcü (Gemi)
3151.09,Denizcilik Teknisyeni
3151.1,Tren Ferisi Makinisti
3151.11,Gemi Yağcısı
3151.12,Uzakyol Başmühendisi/Başmakinisti
3151.13,Uzakyol Vardiya Mühendisi/Makinisti
3151.14,Uzakyol İkinci Mühendisi/Makinisti
3151.15,Sınırlı Makine Zabiti
3152.01,Dok Kaptanı
3152.02,Diğer Gemi Güverte Zabitleri Ve Kılavuz Kaptanları
3152.03,Gemi İdarecisi (Güverte Kaptanı)
3152.04,Gemi Süvarisi (Deniz)
3152.05,Gemi Süvarisi (İç Sularda)
3152.06,Kılavuz Kaptan-Gemi
3152.07,Seyir Zabiti
3152.08,Deniz Ulaştırma ve İşletme Teknikeri / Güverte Teknikeri
3152.09,Uzakyol Güverte Zabiti
3152.1,Kaptan (Uzakyol)
3152.11,Bot Kaptanı
3152.12,Yakın Yol Güverte Zabiti
3152.13,İç Su Aracı Sürücüsü
3152.14,Tren Ferisi Kaptanı
3152.15,Gemi Yönetimi Teknisyeni/Vardiya Zabiti
3152.16,Romorkör Kaptanı
3152.17,Gemi Elektroniği Ve Haberleşme Zabiti
3152.18,Yat Kaptanı
3152.19,Uzakyol Birinci Zabiti
3152.2,Feribot Kaptanı
3152.21,Uzakyol Vardiya Zabiti
3153.01,Pilot
3153.02,Seyrüseferci
3153.04,Balon Pilotu
3153.05,Uçuş Öğretmeni
3153.06,Tandem Yamaç Paraşütü Pilotu
3153.07,Helikopter Pilotu
3153.08,İnsansız Hava Aracı (İHA) Pilotu
3154.01,Hava Trafik Kontrolörü-Radar
3154.02,Hava Trafik Kontrolörü-Kule
3154.03,Uçuş Performans Ve Planlama Kontrolörü
3154.04,AFTN Memuru
3154.05,Hava Trafik Baş Kontrolörü
