Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
13-2052,Personal Financial Advisors,Certified Financial Planner,,
13-2052,Personal Financial Advisors,Estate Planner,x,
13-2052,Personal Financial Advisors,Estate Planning Counselor,,
13-2052,Personal Financial Advisors,Financial Counselor,,
13-2052,Personal Financial Advisors,Individual Pension Adviser,x,
13-2052,Personal Financial Advisors,Individual Pension Consultant,,
13-2052,Personal Financial Advisors,Personal Financial Planner,,
13-2052,Personal Financial Advisors,Personal Investment Adviser,x,
13-2053,Insurance Underwriters,Automobile and Property Underwriter,x,
13-2053,Insurance Underwriters,Bond Underwriter,x,
13-2053,Insurance Underwriters,Insurance Analyst,x,
13-2053,Insurance Underwriters,Insurance Underwriter,,
13-2053,Insurance Underwriters,Insurance Writer,,
13-2053,Insurance Underwriters,Underwriting Account Representative,,
13-2053,Insurance Underwriters,Underwriting Service Representative,,
13-2054,Financial Risk Specialists,Financial Risk Analyst,x,
13-2061,Financial Examiners,Bank Compliance Officer,,
13-2061,Financial Examiners,Bank Examiner,x,
13-2061,Financial Examiners,Financial Compliance Examiner,x,
13-2061,Financial Examiners,Home Mortgage Disclosure Act Specialist,x,
13-2061,Financial Examiners,Payroll Examiner,,
13-2061,Financial Examiners,Pension Examiner,,
13-2071,Credit Counselors,Credit Counselor,,
13-2071,Credit Counselors,Debt Management Counselor,x,
13-2071,Credit Counselors,Student Financial Aid Counselor,x,
13-2071,Credit Counselors,Student Loan Counselor,x,
13-2072,Loan Officers,Branch Lending Officer,,
13-2072,Loan Officers,Commercial Lender,x,
13-2072,Loan Officers,Loan Analyst,,
13-2072,Loan Officers,Loan Officer,,
13-2072,Loan Officers,Loan Reviewer,x,
13-2072,Loan Officers,Payday Loan Officer,x,
13-2072,Loan Officers,Real Estate Loan Officer,x,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",City Collector,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Customs Appraiser,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Income Tax Adjuster,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Internal Revenue Agent,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Internal Revenue Service Agent,x,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Revenue Collector,x,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Revenue Enforcement Agent,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Tax Compliance Officer,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Tax Compliance Representative,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Tax Examiner,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Tax Investigator,x,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Tax Revenue Officer,,
13-2082,Tax Preparers,Corporate Tax Preparer,,
13-2082,Tax Preparers,Income Tax Advisor,x,
13-2082,Tax Preparers,Income Tax Preparer,x,
13-2082,Tax Preparers,Licensed Tax Consultant,x,
13-2082,Tax Preparers,Tax Consultant,,
13-2082,Tax Preparers,Tax Specialist,,
13-2099,"Financial Specialists, All Other",Bail Bondsman,x,
13-2099,"Financial Specialists, All Other",Bondsman,,
13-2099,"Financial Specialists, All Other",Executor of Estate,x,
15-1211,Computer Systems Analysts,Applications Analyst,x,
15-1211,Computer Systems Analysts,Computer Systems Consultant,,
15-1211,Computer Systems Analysts,Data Processing Systems Analyst,x,
15-1211,Computer Systems Analysts,Information Systems Analyst,x,
15-1211,Computer Systems Analysts,Information Systems Planner,,
15-1211,Computer Systems Analysts,Programmer Analyst,,
15-1211,Computer Systems Analysts,Systems Architect,x,
15-1212,Information Security Analysts,Computer Security Specialist,x,
15-1212,Information Security Analysts,Computer Systems Security Analyst,,
15-1212,Information Security Analysts,Information Security Analyst,,
15-1212,Information Security Analysts,Information Systems Security Analyst,,
15-1212,Information Security Analysts,IT Risk Specialist,x,
15-1212,Information Security Analysts,Network Security Analyst,x,
15-1221,Computer and Information Research Scientists,Computational Theory Scientist,x,
15-1221,Computer and Information Research Scientists,Computer Scientist,,
15-1221,Computer and Information Research Scientists,Control System Computer Scientist,x,
15-1221,Computer and Information Research Scientists,Programming Methodology and Languages Researcher,x,
15-1231,Computer Network Support Specialists,Network Diagnostic Support Specialist,x,
15-1231,Computer Network Support Specialists,Network Support Technician,x,
15-1231,Computer Network Support Specialists,Network Technician,x,
15-1232,Computer User Support Specialists,Computer Customer Support Specialist,,
15-1232,Computer User Support Specialists,Computer Help Desk Representative,,
15-1232,Computer User Support Specialists,Computer Help Desk Specialist,,
15-1232,Computer User Support Specialists,End-User Support Specialist,x,
15-1232,Computer User Support Specialists,Help Desk Analyst,,
15-1232,Computer User Support Specialists,Help Desk Technician,x,
15-1232,Computer User Support Specialists,IT Support Specialist,x,
15-1232,Computer User Support Specialists,PC Support Specialist,,
15-1241,Computer Network Architects,Computer Network Engineer,x,
15-1241,Computer Network Architects,Network Designer,x,
15-1241,Computer Network Architects,Network Developer,x,
15-1241,Computer Network Architects,Network Engineer,,
15-1242,Database Administrators,Automatic Data Processing Planner,,
15-1242,Database Administrators,Database Administration Manager,,
15-1242,Database Administrators,Database Coordinator,,
15-1242,Database Administrators,Database Programmer,x,
15-1242,Database Administrators,Database Security Administrator,x,
15-1243,Database Architects,Data Architect,x,
15-1243,Database Architects,Data Integration Specialist,x,
15-1243,Database Architects,Data Warehousing Specialist,x,
15-1243,Database Architects,Database Developer,x,
15-1244,Network and Computer Systems Administrators,LAN Administrator,,
15-1244,Network and Computer Systems Administrators,LAN Systems Administrator,,
15-1244,Network and Computer Systems Administrators,Local Area Network Administrator,,
15-1244,Network and Computer Systems Administrators,Network Analyst,x,
15-1244,Network and Computer Systems Administrators,Network Coordinator,x,
15-1244,Network and Computer Systems Administrators,Network Support Coordinator,,
15-1244,Network and Computer Systems Administrators,Network Support Manager,,
15-1244,Network and Computer Systems Administrators,Network Systems Administrator,,
15-1244,Network and Computer Systems Administrators,Network Systems Coordinator,,
15-1244,Network and Computer Systems Administrators,WAN Systems Administrator,,
15-1244,Network and Computer Systems Administrators,Wide Area Network Administrator,x,
15-1251,Computer Programmers,Applications Programmer,x,
15-1251,Computer Programmers,Computer Language Coder,x,
15-1251,Computer Programmers,Computer Programmer,,
15-1251,Computer Programmers,IT Programmer,x,
15-1251,Computer Programmers,Junior Software Developer,,
15-1251,Computer Programmers,Mainframe Programmer,,
15-1251,Computer Programmers,Systems Programmer,x,
15-1252,Software Developers,Application Integration Engineer,,
15-1252,Software Developers,Applications Developer,,
15-1252,Software Developers,Computer Applications Developer,,
15-1252,Software Developers,Computer Applications Engineer,x,
15-1252,Software Developers,Computer Systems Engineer,x,
15-1252,Software Developers,Computer Systems Software Architect,,
15-1252,Software Developers,Computer Systems Software Engineer,,
15-1252,Software Developers,Embedded Systems Software Developer,,
15-1252,Software Developers,Enterprise Systems Engineer,,
15-1252,Software Developers,Mobile Applications Developer,x,
15-1252,Software Developers,Software Applications Architect,x,
15-1252,Software Developers,Software Applications Designer,,
15-1252,Software Developers,Software Applications Engineer,,
15-1252,Software Developers,Software Engineer,x,
15-1252,Software Developers,Software Systems Engineer,,
15-1252,Software Developers,Systems Software Designer,,
15-1252,Software Developers,Systems Software Developer,x,
15-1252,Software Developers,Systems Software Specialist,,
15-1253,Software Quality Assurance Analysts and Testers,Applications Tester,x,
15-1253,Software Quality Assurance Analysts and Testers,Software Quality Assurance Technician,x,
15-1253,Software Quality Assurance Analysts and Testers,Software Quality Control Specialist,x,
15-1253,Software Quality Assurance Analysts and Testers,Software Quality Engineer,x,
15-1253,Software Quality Assurance Analysts and Testers,Software Test Engineer,x,
15-1254,Web Developers,Intranet Developer,x,
15-1254,Web Developers,Web Applications Developer,x,
15-1254,Web Developers,Web Architect,x,
15-1254,Web Developers,Web Content Developer,,
15-1254,Web Developers,Web Developer,,
15-1255,Web and Digital Interface Designers,Digital Designer,x,
15-1255,Web and Digital Interface Designers,Graphic Web Designer,x,
15-1255,Web and Digital Interface Designers,Web Content Specialist,x,
15-1299,"Computer Occupations, All Other",Computer Console Operator,x,
15-1299,"Computer Occupations, All Other",Computer Laboratory Technician,x,
15-1299,"Computer Occupations, All Other",Data Center Operator,x,
15-2011,Actuaries,Actuarial Associate,,
15-2011,Actuaries,Actuarial Mathematician,x,
15-2011,Actuaries,Health Actuary,x,
15-2011,Actuaries,Insurance Actuary,x,
15-2011,Actuaries,Pricing Actuary,,
15-2011,Actuaries,Product Development Actuary,,
15-2021,Mathematicians,Algebraist,x,
15-2021,Mathematicians,Cipher Expert,,
15-2021,Mathematicians,Cryptanalyst,,
15-2021,Mathematicians,Cryptographer,x,
15-2021,Mathematicians,Cryptographic Vulnerability Analyst,x,
15-2021,Mathematicians,Geometrician,,
15-2031,Operations Research Analysts,Operations Analyst,x,
15-2031,Operations Research Analysts,Procedure Analyst,x,
15-2031,Operations Research Analysts,Process Analyst,x,
15-2041,Statisticians,Analytical Statistician,,
15-2041,Statisticians,Applied Statistician,,
15-2041,Statisticians,Biometrician,,
15-2041,Statisticians,Biostatistician,x,
15-2041,Statisticians,Environmental Statistician,,
15-2041,Statisticians,Mathematical Statistician,,
15-2041,Statisticians,Research Biostatistician,,
15-2041,Statisticians,Sampling Expert,,
15-2041,Statisticians,Statistical Analyst,x,
15-2041,Statisticians,Statistical Reporting Analyst,,
15-2041,Statisticians,Survey Statistician,,
15-2041,Statisticians,Time Study Statistician,x,
15-2051,Data Scientists,Business Intelligence Developer,x,
15-2051,Data Scientists,Data Analytics Specialist,x,
15-2051,Data Scientists,Data Mining Analyst,x,
15-2051,Data Scientists,Data Visualization Developer,x,
15-2099,"Mathematical Science Occupations, All Other",Harmonic Analyst,x,
15-2099,"Mathematical Science Occupations, All Other",Mathematical Engineering Technician,x,
15-2099,"Mathematical Science Occupations, All Other",Mathematics Technician,,
17-1011,"Architects, Except Landscape and Naval",Building Architect,x,
17-1011,"Architects, Except Landscape and Naval",Building Architectural Designer,x,
17-1011,"Architects, Except Landscape and Naval",Structural Architect,x,
17-1012,Landscape Architects,Golf Course Architect,x,
17-1012,Landscape Architects,Golf Course Designer,x,
17-1012,Landscape Architects,Landscape Architect,,
17-1012,Landscape Architects,Landscape Designer,x,
17-1021,Cartographers and Photogrammetrists,Cadastral Mapper,,
17-1021,Cartographers and Photogrammetrists,Digital Cartographer,x,
17-1021,Cartographers and Photogrammetrists,"Engineer, Photogrammetric",,
17-1021,Cartographers and Photogrammetrists,Map Maker,,
17-1021,Cartographers and Photogrammetrists,Mapper,x,
17-1021,Cartographers and Photogrammetrists,Orthophotography Technician,,
17-1021,Cartographers and Photogrammetrists,Photo Cartographer,,
17-1021,Cartographers and Photogrammetrists,Photogrammetrist,,
17-1021,Cartographers and Photogrammetrists,Topographer,x,
17-1022,Surveyors,City Surveyor,,
17-1022,Surveyors,County Surveyor,,
17-1022,Surveyors,Geodetic Surveyor,x,
17-1022,Surveyors,Geophysical Prospecting Surveyor,,
17-1022,Surveyors,Land Surveyor,x,
17-1022,Surveyors,Mine Surveyor,,
17-1022,Surveyors,Mineral Surveyor,x,
17-1022,Surveyors,Registered Land Surveyor,,
17-1022,Surveyors,Topographical Surveyor,,
17-2011,Aerospace Engineers,Aerodynamics Engineer,,
17-2011,Aerospace Engineers,Aeronautical Engineer,x,
17-2011,Aerospace Engineers,Aircraft Design Engineer,x,
17-2011,Aerospace Engineers,Aircraft Designer,,
17-2011,Aerospace Engineers,Aircraft Engineer,,
17-2011,Aerospace Engineers,Astronautical Engineer,,
17-2011,Aerospace Engineers,Flight Systems Test Engineer,,
17-2011,Aerospace Engineers,Flight Test Engineer,x,
17-2011,Aerospace Engineers,Wind Tunnel Engineer,,
17-2021,Agricultural Engineers,Agricultural Engineer,,
17-2021,Agricultural Engineers,Agricultural Production Engineer,x,
17-2021,Agricultural Engineers,Agricultural Research Engineer,x,
17-2021,Agricultural Engineers,Farm Equipment Engineer,x,
